Datetime,Open,High,Low,Close,Adj Close,Volume
2023-11-17 09:15:00+05:30,397.54998779296875,398.1499938964844,397.54998779296875,398.04998779296875,398.04998779296875,0
2023-11-17 09:16:00+05:30,398.29998779296875,398.54998779296875,397.8999938964844,397.8999938964844,397.8999938964844,51768
2023-11-17 09:17:00+05:30,397.8999938964844,399.0,397.8500061035156,398.95001220703125,398.95001220703125,29101
2023-11-17 09:18:00+05:30,398.5,398.8500061035156,398.45001220703125,398.5,398.5,46689
2023-11-17 09:19:00+05:30,398.3999938964844,398.70001220703125,398.3999938964844,398.54998779296875,398.54998779296875,18931
2023-11-17 09:20:00+05:30,398.70001220703125,398.70001220703125,398.0,398.0,398.0,28405
2023-11-17 09:21:00+05:30,397.95001220703125,397.95001220703125,397.6499938964844,397.8500061035156,397.8500061035156,23854
2023-11-17 09:22:00+05:30,397.6499938964844,397.8999938964844,397.3999938964844,397.5,397.5,43436
2023-11-17 09:23:00+05:30,397.5,397.6000061035156,397.3999938964844,397.45001220703125,397.45001220703125,16354
2023-11-17 09:24:00+05:30,397.6000061035156,397.6499938964844,397.6000061035156,397.6499938964844,397.6499938964844,9990
2023-11-17 09:25:00+05:30,397.3999938964844,397.45001220703125,397.20001220703125,397.20001220703125,397.20001220703125,39858
2023-11-17 09:26:00+05:30,397.04998779296875,397.3999938964844,397.0,397.1000061035156,397.1000061035156,26793
2023-11-17 09:27:00+05:30,397.04998779296875,397.04998779296875,396.75,396.8500061035156,396.8500061035156,11375
2023-11-17 09:28:00+05:30,397.0,397.3500061035156,396.8500061035156,397.25,397.25,18639
2023-11-17 09:29:00+05:30,397.25,397.70001220703125,397.25,397.6499938964844,397.6499938964844,10257
2023-11-17 09:30:00+05:30,397.75,398.0,397.70001220703125,397.79998779296875,397.79998779296875,19836
2023-11-17 09:31:00+05:30,397.8999938964844,397.8999938964844,397.5,397.6499938964844,397.6499938964844,7720
2023-11-17 09:32:00+05:30,397.6499938964844,397.6499938964844,397.3999938964844,397.6000061035156,397.6000061035156,28013
2023-11-17 09:33:00+05:30,397.45001220703125,397.6499938964844,397.45001220703125,397.6499938964844,397.6499938964844,12480
2023-11-17 09:34:00+05:30,397.6499938964844,397.75,397.54998779296875,397.75,397.75,4315
2023-11-17 09:35:00+05:30,397.6499938964844,397.70001220703125,397.25,397.3500061035156,397.3500061035156,14051
2023-11-17 09:36:00+05:30,397.29998779296875,397.29998779296875,396.79998779296875,396.8999938964844,396.8999938964844,21576
2023-11-17 09:37:00+05:30,396.79998779296875,396.95001220703125,396.54998779296875,396.75,396.75,11043
2023-11-17 09:38:00+05:30,396.75,396.8999938964844,396.6000061035156,396.75,396.75,21413
2023-11-17 09:39:00+05:30,396.75,396.75,396.5,396.5,396.5,6367
2023-11-17 09:40:00+05:30,396.6499938964844,396.75,396.3500061035156,396.54998779296875,396.54998779296875,14104
2023-11-17 09:41:00+05:30,396.45001220703125,396.8999938964844,396.45001220703125,396.8500061035156,396.8500061035156,12451
2023-11-17 09:42:00+05:30,396.79998779296875,397.29998779296875,396.79998779296875,397.29998779296875,397.29998779296875,7541
2023-11-17 09:43:00+05:30,397.45001220703125,397.6499938964844,397.20001220703125,397.20001220703125,397.20001220703125,15468
2023-11-17 09:44:00+05:30,397.20001220703125,397.45001220703125,397.20001220703125,397.3999938964844,397.3999938964844,2926
2023-11-17 09:45:00+05:30,397.6000061035156,397.75,397.45001220703125,397.45001220703125,397.45001220703125,6783
2023-11-17 09:46:00+05:30,397.54998779296875,397.75,397.3999938964844,397.5,397.5,8784
2023-11-17 09:47:00+05:30,397.3999938964844,397.54998779296875,397.0,397.3500061035156,397.3500061035156,25702
2023-11-17 09:48:00+05:30,397.3500061035156,397.5,397.0,397.04998779296875,397.04998779296875,5397
2023-11-17 09:49:00+05:30,397.0,397.04998779296875,396.8500061035156,396.8999938964844,396.8999938964844,9587
2023-11-17 09:50:00+05:30,396.8999938964844,397.0,396.8500061035156,397.0,397.0,4447
2023-11-17 09:51:00+05:30,397.0,397.0,396.70001220703125,396.95001220703125,396.95001220703125,10334
2023-11-17 09:52:00+05:30,396.8500061035156,397.1000061035156,396.8500061035156,396.95001220703125,396.95001220703125,5976
2023-11-17 09:53:00+05:30,396.95001220703125,396.95001220703125,396.79998779296875,396.79998779296875,396.79998779296875,5307
2023-11-17 09:54:00+05:30,396.75,396.79998779296875,396.6000061035156,396.70001220703125,396.70001220703125,11586
